loan_id,loan_amount,loan_purpose,loan_grade,interest_rate,annual_income,employment_length,employment_status,home_ownership,fico_score,credit_history_length,num_credit_accounts,num_open_accounts,total_credit_limit,revolving_balance,credit_utilization,late_payments_2yr,recent_inquiries,monthly_debt_payments,age,education_level,debt_to_income,loan_to_income,risk_score,default
LC_000038,40234,debt_consolidation,E,22.53,62081,0.9,Part-time,Mortgage,689,14.0,4,3,103461,8747,0.085,2,5,345,44,Some College,0.067,0.648,0.3026,1
LC_000039,15338,debt_consolidation,D,16.26,60428,2.0,Full-time,Own,733,23.0,7,6,135231,54914,0.406,0,0,1945,41,PhD,0.386,0.254,0.2076,0
LC_000040,48769,debt_consolidation,F,26.46,65944,3.3,Self-employed,Mortgage,701,9.3,2,1,162517,18879,0.116,5,3,1031,54,Some College,0.188,0.74,0.5634,1
LC_000041,12014,business,F,25.5,26611,10.7,Full-time,Mortgage,587,1.4,4,2,62952,19803,0.315,4,4,635,21,High School,0.286,0.451,0.7485,1
LC_000042,22300,major_purchase,F,27.07,56089,2.0,Self-employed,Own,631,0.7,3,2,42817,13882,0.324,3,0,930,27,Some College,0.199,0.398,0.5411,1
LC_000043,7889,debt_consolidation,F,26.39,73870,6.4,Self-employed,Mortgage,639,6.3,5,4,30416,6825,0.224,8,5,1021,48,High School,0.166,0.107,0.7907,1
LC_000044,33028,major_purchase,E,22.56,84665,16.4,Full-time,Mortgage,654,2.1,8,7,74192,21417,0.289,4,2,1265,41,Bachelors,0.179,0.39,0.4322,1
LC_000045,29196,medical,D,15.82,63537,7.0,Self-employed,Mortgage,669,11.6,6,3,115652,38644,0.334,1,2,1189,37,Some College,0.225,0.46,0.2465,1
LC_000046,7614,other,F,25.42,50152,1.3,Self-employed,Own,646,0.0,3,2,49057,8903,0.181,7,0,799,18,Some College,0.191,0.152,0.8898,1
LC_000047,31632,debt_consolidation,B,10.51,59726,7.7,Full-time,Own,735,1.6,4,3,31424,2758,0.088,0,2,786,46,High School,0.158,0.53,0.1148,0
LC_000048,16603,major_purchase,C,13.64,73368,12.1,Full-time,Rent,686,7.9,2,1,60222,12321,0.205,0,1,1152,51,High School,0.188,0.226,0.1763,1
LC_000049,21263,medical,F,25.07,66204,4.0,Full-time,Own,638,10.0,3,2,68243,15494,0.227,5,4,1172,28,Bachelors,0.213,0.321,0.6034,0
LC_000050,35166,debt_consolidation,E,22.38,50612,0.5,Full-time,Mortgage,653,2.1,8,7,112296,50615,0.451,1,4,1668,37,High School,0.396,0.695,0.3499,0
LC_000051,23258,business,C,12.5,59236,3.7,Self-employed,Mortgage,736,15.5,7,6,46822,20216,0.432,0,2,921,35,Some College,0.187,0.393,0.1429,0
LC_000052,40141,debt_consolidation,C,13.99,59836,16.4,Full-time,Rent,708,4.0,6,4,102394,4915,0.048,1,2,930,22,Some College,0.187,0.671,0.1462,1
LC_000053,7507,major_purchase,B,10.02,54838,9.8,Full-time,Rent,683,16.0,4,3,47965,5123,0.107,1,0,872,40,High School,0.191,0.137,0.1017,0
LC_000054,30244,medical,E,20.31,59775,5.7,Full-time,Rent,709,1.9,1,1,59182,35473,0.599,0,2,1471,39,High School,0.295,0.506,0.3099,1
LC_000055,48950,medical,E,22.57,103807,4.7,Unemployed,Rent,735,21.9,5,4,130726,33148,0.254,2,2,2110,77,Bachelors,0.244,0.472,0.3694,0
LC_000056,13167,home_improvement,F,25.57,92460,12.2,Full-time,Rent,711,16.1,5,4,215033,66114,0.307,2,1,2801,54,Bachelors,0.364,0.142,0.504,1
LC_000057,13341,debt_consolidation,C,12.75,80762,2.1,Self-employed,Rent,680,11.6,9,6,96790,19244,0.199,2,1,895,48,Bachelors,0.133,0.165,0.1984,0
LC_000058,31612,medical,F,25.52,59808,3.5,Part-time,Rent,640,4.0,4,2,116380,56497,0.485,3,3,2148,41,Some College,0.431,0.529,0.7996,1
LC_000059,35473,debt_consolidation,D,16.78,89156,8.0,Self-employed,Mortgage,703,11.0,7,5,111066,25293,0.228,2,1,1537,35,Masters,0.207,0.398,0.2484,0
LC_000060,48178,major_purchase,D,17.08,64362,2.0,Self-employed,Mortgage,729,3.2,5,4,131698,57458,0.436,1,0,2355,26,Some College,0.439,0.749,0.217,0
LC_000061,49092,home_improvement,F,25.17,37020,1.7,Full-time,Mortgage,623,0.9,9,8,38405,5934,0.155,3,2,548,32,Some College,0.178,1.326,0.4521,0
LC_000062,9772,vacation,C,13.24,86127,3.4,Full-time,Mortgage,674,19.0,4,3,34594,7299,0.211,1,1,920,61,Bachelors,0.128,0.113,0.1711,0
LC_000063,14671,car,F,26.68,65689,0.7,Full-time,Mortgage,718,6.1,7,5,123519,87140,0.705,2,0,2964,51,Some College,0.542,0.223,0.7112,1
LC_000064,16526,debt_consolidation,D,16.66,88501,3.4,Self-employed,Own,704,12.3,4,2,176479,52152,0.296,0,0,2066,48,PhD,0.28,0.187,0.2408,0
LC_000065,13738,home_improvement,C,14.27,69658,6.4,Full-time,Mortgage,716,8.5,3,2,106318,15139,0.142,0,1,566,51,Some College,0.098,0.197,0.1603,0
LC_000066,45150,home_improvement,F,25.87,51178,9.4,Full-time,Rent,615,8.5,7,6,82396,61942,0.752,1,2,2466,34,High School,0.578,0.882,0.813,0
LC_000067,36108,home_improvement,F,26.9,59597,1.9,Part-time,Own,717,9.5,4,3,136779,63350,0.463,4,2,2026,53,High School,0.408,0.606,0.71,0
LC_000068,20679,debt_consolidation,B,8.91,110308,8.6,Self-employed,Mortgage,698,12.1,2,1,100389,24927,0.248,0,0,1460,67,Masters,0.159,0.187,0.0549,0
LC_000069,14068,other,F,25.18,44130,10.7,Full-time,Rent,646,15.0,3,2,39618,3903,0.099,4,0,434,33,Some College,0.118,0.319,0.5002,1
LC_000070,35534,home_improvement,E,21.25,75859,6.0,Full-time,Own,687,31.0,5,3,58464,15801,0.27,3,0,808,49,High School,0.128,0.468,0.3232,1
LC_000071,42728,debt_consolidation,F,25.68,89338,17.4,Part-time,Rent,756,23.7,7,5,204641,100284,0.49,1,1,3837,63,Bachelors,0.515,0.478,0.5261,1
LC_000072,32460,vacation,C,13.8,90090,7.1,Full-time,Rent,770,4.2,1,1,176364,43182,0.245,1,2,2440,45,Some College,0.325,0.36,0.1876,0
LC_000073,36827,car,B,9.9,58267,10.6,Full-time,Rent,721,18.4,5,3,132568,32073,0.242,2,4,1174,50,Some College,0.242,0.632,0.0858,0
LC_000074,13364,debt_consolidation,F,27.07,72976,0.8,Full-time,Rent,674,7.9,5,3,86804,14015,0.161,4,1,875,55,Bachelors,0.144,0.183,0.5161,0
LC_000075,33089,home_improvement,D,15.63,98220,0.7,Part-time,Rent,669,46.0,6,5,157364,38080,0.242,1,0,1252,64,Bachelors,0.153,0.337,0.2071,0
LC_000076,29846,home_improvement,E,21.25,53664,2.8,Part-time,Mortgage,718,3.6,2,1,60856,11909,0.196,3,1,591,43,Masters,0.132,0.556,0.3957,0
LC_000077,8413,business,F,26.43,60091,8.6,Full-time,Rent,663,3.4,4,3,128402,25896,0.202,3,1,1377,35,Some College,0.275,0.14,0.52,1
LC_000078,21205,debt_consolidation,A,5.88,78281,22.1,Self-employed,Rent,729,6.5,5,4,158026,15916,0.101,1,2,1264,42,High School,0.194,0.271,0.0399,1
LC_000079,19284,home_improvement,E,21.12,59187,10.3,Full-time,Mortgage,642,1.0,4,3,34191,3418,0.1,2,1,547,26,Some College,0.111,0.326,0.403,1
LC_000080,15732,business,D,15.56,82523,11.3,Full-time,Own,720,25.4,2,1,134757,23583,0.175,2,5,1497,52,Masters,0.218,0.191,0.2729,1
LC_000081,30995,business,C,13.28,77716,6.9,Self-employed,Rent,744,19.2,6,5,76651,15182,0.198,1,2,1448,53,Bachelors,0.224,0.399,0.1883,0
LC_000082,24764,major_purchase,F,25.1,70420,13.0,Part-time,Own,692,13.0,2,1,149801,44873,0.3,2,2,2000,31,Some College,0.341,0.352,0.5101,0
LC_000083,33074,home_improvement,F,26.42,80356,3.0,Full-time,Rent,630,20.7,4,3,198033,42354,0.214,7,0,1642,63,Some College,0.245,0.412,0.8423,1
LC_000084,33411,medical,F,26.87,55364,3.1,Full-time,Rent,710,23.2,4,3,18150,7379,0.407,5,3,583,53,High School,0.126,0.603,0.6422,1
LC_000085,47628,vacation,E,21.55,71809,6.3,Part-time,Other,703,37.0,5,3,133283,15663,0.118,2,1,1172,55,Some College,0.196,0.663,0.314,0
LC_000086,22589,debt_consolidation,E,22.54,55453,6.2,Part-time,Rent,672,7.6,7,5,75620,45170,0.597,1,4,1895,44,High School,0.41,0.407,0.4445,1
LC_000087,42345,home_improvement,F,24.87,76078,0.8,Full-time,Rent,718,12.0,8,6,69508,48995,0.705,3,3,2231,30,Masters,0.352,0.557,0.6321,1
LC_000088,21931,debt_consolidation,D,17.25,32908,3.6,Full-time,Rent,643,2.0,2,1,71479,6255,0.088,1,3,280,20,High School,0.102,0.666,0.2981,0
LC_000089,10610,debt_consolidation,D,16.89,80239,0.7,Full-time,Mortgage,687,1.5,8,4,72840,23691,0.325,1,2,1725,40,Bachelors,0.258,0.132,0.2583,0
LC_000090,34371,business,F,25.35,36833,4.9,Full-time,Mortgage,641,5.0,2,1,30523,10968,0.359,5,1,678,23,Some College,0.221,0.933,0.7586,1
LC_000091,36015,car,F,27.29,47856,5.3,Full-time,Mortgage,656,0.5,6,4,87190,7754,0.089,5,3,603,21,Bachelors,0.151,0.753,0.5107,1
LC_000092,25094,debt_consolidation,C,12.28,53231,4.5,Full-time,Mortgage,679,12.5,6,4,80424,4171,0.052,1,3,447,57,High School,0.101,0.471,0.1303,1
LC_000093,17133,major_purchase,D,16.19,51919,0.2,Full-time,Rent,691,7.4,8,6,29231,6641,0.227,3,1,726,28,Bachelors,0.168,0.33,0.2783,0
LC_000094,11588,debt_consolidation,F,25.7,60902,0.5,Part-time,Own,659,9.8,8,7,97266,63412,0.652,6,1,2386,44,Masters,0.47,0.19,0.9465,1
LC_000095,7982,home_improvement,E,21.94,83134,2.6,Full-time,Own,711,27.0,4,3,80223,5587,0.07,3,4,307,45,Masters,0.044,0.096,0.4349,0
LC_000096,5803,medical,D,16.6,128383,15.4,Part-time,Mortgage,698,0.8,3,2,74181,12794,0.172,0,1,1224,41,Masters,0.114,0.045,0.2148,0
LC_000097,36308,home_improvement,C,13.03,59878,25.3,Part-time,Rent,725,13.0,7,4,42249,12335,0.292,1,1,1121,31,High School,0.225,0.606,0.1228,1
LC_000098,41886,home_improvement,E,20.82,55936,23.6,Full-time,Mortgage,698,8.3,4,3,87788,24246,0.276,2,3,840,50,High School,0.18,0.749,0.3498,1
LC_000099,45528,debt_consolidation,D,16.63,72809,17.6,Part-time,Own,753,7.2,6,4,111234,65630,0.59,0,1,2547,31,Some College,0.42,0.625,0.2651,0
LC_000100,25013,debt_consolidation,E,22.6,59577,3.1,Self-employed,Own,682,3.9,3,2,75900,15428,0.203,2,3,1249,51,High School,0.252,0.42,0.3537,1
LC_000101,22343,other,D,15.93,57415,5.4,Full-time,Own,718,12.0,3,2,29758,4292,0.144,1,1,607,45,Some College,0.127,0.389,0.2121,1
LC_000102,43916,home_improvement,C,12.52,114607,3.7,Full-time,Mortgage,694,2.9,6,3,53308,5439,0.102,1,2,851,44,Masters,0.089,0.383,0.174,1
LC_000103,20297,other,F,26.36,56712,2.5,Part-time,Own,609,0.2,3,2,52287,6450,0.123,7,0,247,42,Bachelors,0.052,0.358,0.9948,1
LC_000104,40688,medical,E,20.86,51591,13.2,Full-time,Rent,641,4.2,1,1,90521,15273,0.169,2,4,750,30,High School,0.175,0.789,0.355,1
LC_000105,43996,medical,E,20.92,45506,11.0,Full-time,Mortgage,685,0.7,4,2,27891,11589,0.416,2,2,828,40,Some College,0.219,0.967,0.3598,0
LC_000106,22841,car,E,20.4,58883,17.7,Full-time,Rent,669,0.1,4,3,33773,2342,0.069,3,1,619,34,High School,0.126,0.388,0.3401,0
LC_000107,21408,medical,B,9.89,78944,25.9,Full-time,Own,707,18.0,10,7,30606,5147,0.168,1,1,493,36,High School,0.075,0.271,0.0852,0
LC_000108,49058,medical,E,22.11,47584,11.8,Part-time,Own,659,5.3,3,2,104358,8163,0.078,2,2,258,25,High School,0.065,1.031,0.4243,0
LC_000109,23229,debt_consolidation,E,21.79,51252,11.2,Self-employed,Own,589,7.0,4,3,35129,13110,0.373,1,2,695,25,Masters,0.163,0.453,0.3163,0
LC_000110,26843,car,D,15.9,77770,7.0,Self-employed,Rent,611,5.0,7,4,107462,26188,0.244,1,0,1146,23,Some College,0.177,0.345,0.2942,1
LC_000111,31244,debt_consolidation,F,25.94,69708,13.3,Unemployed,Mortgage,701,0.0,1,1,84041,51473,0.612,1,0,2160,18,Bachelors,0.372,0.448,0.6927,1
LC_000112,31488,business,F,24.8,41721,2.1,Part-time,Own,622,0.0,5,3,41384,21112,0.51,6,2,1173,45,High School,0.337,0.755,1.0,1
LC_000113,38976,debt_consolidation,D,17.06,63356,0.3,Full-time,Rent,740,11.0,11,8,140182,17628,0.126,3,4,574,48,Some College,0.109,0.615,0.2324,0
LC_000114,23876,major_purchase,B,8.5,46498,12.3,Full-time,Mortgage,735,12.0,7,4,91693,19945,0.218,1,2,938,30,High School,0.242,0.513,0.0876,0
LC_000115,15379,vacation,B,9.22,84816,12.7,Full-time,Rent,759,11.8,5,4,207029,61302,0.296,0,2,2109,46,Some College,0.298,0.181,0.0622,1
LC_000116,12698,debt_consolidation,D,17.83,70505,3.7,Full-time,Own,713,12.0,4,3,56005,19394,0.346,1,3,688,34,Bachelors,0.117,0.18,0.2595,1
LC_000117,36621,debt_consolidation,E,21.58,37490,1.8,Full-time,Rent,689,3.8,5,4,35319,4651,0.132,2,2,347,24,Some College,0.111,0.977,0.356,1
LC_000118,13946,debt_consolidation,C,13.78,77788,7.3,Part-time,Other,722,14.5,6,5,88980,6846,0.077,0,1,732,44,Bachelors,0.113,0.179,0.1928,0
LC_000119,5168,debt_consolidation,D,16.97,69538,2.4,Full-time,Rent,705,15.4,4,3,84340,33232,0.394,1,0,1467,40,Some College,0.253,0.074,0.2666,0
LC_000120,40296,business,B,10.11,85513,10.6,Self-employed,Own,757,32.0,6,4,213575,60351,0.283,0,2,1979,50,High School,0.278,0.471,0.0969,0
LC_000121,20650,major_purchase,E,22.14,98376,4.8,Part-time,Rent,676,3.4,3,2,111151,50949,0.458,0,2,2669,55,Bachelors,0.326,0.21,0.3444,1
LC_000122,29984,major_purchase,D,17.55,41129,4.2,Full-time,Own,701,2.1,3,2,16288,5675,0.348,1,5,556,44,High School,0.163,0.729,0.2072,0
LC_000123,37918,debt_consolidation,F,25.05,72160,16.7,Part-time,Mortgage,700,6.0,6,4,177354,110283,0.622,0,1,3344,50,High School,0.556,0.525,0.6431,1
LC_000124,6005,debt_consolidation,D,17.14,52455,10.5,Full-time,Own,673,0.2,3,1,113254,30704,0.271,0,4,1557,52,High School,0.356,0.114,0.2945,0
LC_000125,27187,debt_consolidation,E,20.4,82472,1.5,Part-time,Mortgage,712,6.4,4,3,52748,19890,0.377,1,0,1662,55,Some College,0.242,0.33,0.3547,0
LC_000126,25752,home_improvement,E,21.42,103398,0.6,Full-time,Rent,661,12.0,8,6,105760,18670,0.177,3,4,1295,30,Bachelors,0.15,0.249,0.3654,0
LC_000127,49852,medical,F,26.67,60197,13.0,Part-time,Rent,624,21.0,5,4,89707,46220,0.515,1,3,1575,39,Some College,0.314,0.828,0.6442,0
LC_000128,11586,major_purchase,D,17.76,74998,7.0,Full-time,Mortgage,706,6.0,7,4,94102,40041,0.426,1,2,1834,24,Bachelors,0.294,0.154,0.2987,0
LC_000129,29565,debt_consolidation,F,25.83,38656,1.9,Full-time,Rent,612,10.0,7,6,15508,5663,0.365,3,4,321,28,Some College,0.1,0.765,0.5261,1
LC_000130,44943,other,F,25.4,59516,9.6,Full-time,Rent,603,3.6,10,6,107126,55135,0.515,6,1,1793,60,High School,0.362,0.755,1.0,1
LC_000131,21644,business,F,27.05,66468,6.7,Part-time,Own,728,12.7,8,5,153423,54237,0.354,2,3,2035,56,Some College,0.368,0.326,0.4719,0
LC_000132,9840,major_purchase,B,9.67,77371,10.0,Full-time,Mortgage,715,13.5,5,3,102404,7044,0.069,0,4,775,66,Some College,0.12,0.127,0.0883,0
LC_000133,24799,home_improvement,B,9.41,109900,9.6,Self-employed,Rent,731,19.5,5,3,187452,90637,0.484,0,4,3085,48,Bachelors,0.337,0.226,0.0898,0
LC_000134,24348,car,C,12.79,81627,17.4,Full-time,Other,676,19.5,3,2,67085,15561,0.232,2,1,1092,38,Some College,0.161,0.298,0.1644,0
LC_000135,8214,car,F,26.88,32778,2.5,Full-time,Rent,591,2.2,4,3,10417,3240,0.311,3,0,437,39,High School,0.16,0.251,0.6221,0
LC_000136,28089,debt_consolidation,C,12.43,61550,2.9,Full-time,Mortgage,691,10.4,3,2,140731,15187,0.108,1,5,644,29,High School,0.126,0.456,0.1238,0
LC_000137,13963,debt_consolidation,F,26.42,67645,1.7,Full-time,Other,568,16.2,4,3,132737,7114,0.054,4,3,827,38,Some College,0.147,0.206,0.7456,0
LC_000138,13612,car,E,22.07,38349,1.6,Full-time,Own,657,19.0,4,3,37568,12810,0.341,3,2,680,37,High School,0.213,0.355,0.308,1
LC_000139,28976,other,E,22.28,80122,11.1,Full-time,Own,671,7.4,6,3,54996,17389,0.316,3,0,1097,48,High School,0.164,0.362,0.3962,0
LC_000140,24342,debt_consolidation,B,8.49,125509,3.3,Full-time,Own,721,8.6,3,2,108607,18512,0.17,0,1,1361,33,Masters,0.13,0.194,0.0693,0
LC_000141,49323,major_purchase,F,27.22,57190,3.8,Full-time,Mortgage,651,6.0,3,1,138306,34688,0.251,3,4,1777,32,Bachelors,0.373,0.862,0.5348,0
LC_000142,5912,debt_consolidation,E,21.12,54934,3.1,Full-time,Rent,684,4.0,3,2,113718,35455,0.312,2,2,1642,28,Some College,0.359,0.108,0.4129,1
LC_000143,46847,medical,F,25.38,65455,1.3,Full-time,Rent,625,7.1,5,3,127494,22619,0.177,6,1,1011,45,Masters,0.185,0.716,0.8181,1
LC_000144,44982,business,D,17.56,74532,3.3,Full-time,Own,701,15.9,3,2,26462,1188,0.045,2,5,593,51,High School,0.096,0.604,0.2043,1
LC_000145,14160,car,D,17.99,64491,6.9,Full-time,Mortgage,681,1.5,3,2,148371,24075,0.162,3,1,1073,40,Some College,0.2,0.22,0.2491,1
LC_000146,30470,home_improvement,E,22.06,54667,9.4,Self-employed,Rent,663,3.5,5,3,30365,940,0.031,4,3,420,39,Bachelors,0.092,0.557,0.4107,0
LC_000147,15126,major_purchase,E,22.28,86828,0.3,Full-time,Own,719,6.3,5,3,206749,14100,0.068,3,1,1282,46,Some College,0.177,0.174,0.4171,0
LC_000148,29283,major_purchase,F,25.39,107615,3.5,Part-time,Mortgage,666,0.9,2,1,178042,22068,0.124,4,5,1063,47,Bachelors,0.119,0.272,0.4635,1
LC_000149,47259,debt_consolidation,A,5.97,101897,4.5,Full-time,Rent,735,20.9,7,6,111873,27539,0.246,0,4,1325,65,Bachelors,0.156,0.464,0.0,0
LC_000150,48435,debt_consolidation,A,7.93,96549,13.1,Full-time,Own,723,3.7,5,4,54912,21722,0.396,0,3,1237,55,Bachelors,0.154,0.502,0.0124,0
LC_000151,42000,debt_consolidation,D,16.89,79791,1.4,Full-time,Own,670,0.3,3,2,32815,6567,0.2,2,3,1249,54,High School,0.188,0.526,0.201,0
LC_000152,14670,debt_consolidation,D,16.19,80070,9.9,Full-time,Own,693,9.6,4,3,127314,39077,0.307,1,2,1421,50,Some College,0.213,0.183,0.2877,0
LC_000153,16435,home_improvement,E,20.53,35176,4.0,Full-time,Rent,695,0.0,3,2,86703,28469,0.328,1,3,1107,18,Some College,0.378,0.467,0.302,0
LC_000154,6034,debt_consolidation,F,26.65,45877,2.1,Full-time,Other,671,21.0,4,3,49920,17845,0.357,6,2,895,39,Bachelors,0.234,0.132,0.5648,1
LC_000155,28726,medical,E,21.46,48001,15.2,Full-time,Other,736,32.0,3,2,69956,32197,0.46,2,4,1270,50,High School,0.318,0.598,0.3126,1
LC_000156,48181,business,E,22.61,65106,11.7,Full-time,Own,647,11.8,4,2,154946,17772,0.115,2,0,1213,33,High School,0.224,0.74,0.4143,0
LC_000157,49964,debt_consolidation,C,12.91,58360,4.4,Full-time,Mortgage,716,2.3,1,1,25317,1352,0.053,2,2,353,42,Some College,0.073,0.856,0.1816,0
LC_000158,13270,major_purchase,A,6.87,125081,18.4,Full-time,Mortgage,779,35.0,3,2,284982,53941,0.189,0,0,1865,65,Bachelors,0.179,0.106,0.0,0
LC_000159,34734,home_improvement,E,22.18,71327,4.1,Full-time,Mortgage,659,14.0,5,4,72426,33666,0.465,1,1,1514,32,Bachelors,0.255,0.487,0.3111,0
LC_000160,41132,major_purchase,F,25.93,160706,35.0,Full-time,Rent,648,20.0,5,4,88663,37141,0.419,7,0,2994,38,Masters,0.224,0.256,0.9042,1
